TRACKNR;KMSTR_E;KMEND_E;KMSTR_V;KMEND_V;TRACKNAME;TRACKSHCUT
2523;100000056;100440000;  0,0 +  56;  4,4 +   0;Rheydt Gbf - Moenchengladbach-Speick;Rheydt Gbf - MG-Speick
2524;99969955;102120060; -0,3 + -44; 21,2 +  60;Rheydt Main-St., 61W51 - Dalheim Borderline;Rheydt - Dalheim Borderline
2525;100000000;105030004;  0,0 +   0; 50,3 +   4;Neuss Main-St., W 54  --Schwelm-- - Switch Linderhausen, W 482;Neuss --Schwelm-- - Linderhsn.
2530;99999997;101490056;  0,0 +  -2; 14,9 +  56;Neuss Main-St., W 46 - Neersen;Neuss - Neersen
2531;100000004;100490025;  0,0 +   4;  4,9 +  25;Switch Neuss Nordkanal, W 3 - Switch Weißenberg, W 312;NE Nordkanal - Switch Weißenberg
2532;100000010;100060087;  0,0 +  10;  0,6 +  87;Switch Neuss Nordkanal, W 1 - W 7;Switch Neuss Nordkanal, W1 - W7
2533;108050075;108260087; 80,5 +  75; 82,6 +  87;Neuss Main-St., W 45 - Switch Neuss Erftkanal, W 182;Neuss - Switch Neuss Erftkanal
2534;100010044;100670080;  0,1 +  44;  6,7 +  80;Neuss, W 110 - Duesseldorf-Oberkassel;Neuss - Duesseldorf-Oberkassel
2535;99999966;100100071;  0,0 + -33;  1,0 +  71;Switch Neuss Erftkanal, W 185 - Switch Weißenberg, W 300;NE,Erftkanal - Switch Weißenberg
2536;100000000;100060037;  0,0 +   0;  0,6 +  37;Neuss Steinhausstr., W 31 - Neuss, W 56;Neuss, Steinhausstr, W31 - W56
2540;101100086;103460041; 11,0 +  86; 34,6 +  41;Linnich - Dalheim;Linnich - Dalheim
2541;99909959;100130093; -0,9 + -40;  1,3 +  93;Baal Gbf, W 24 - Baal West, Strw 2540/2541;Baal Gbf - Baal West
2542;99939973;101220016; -0,6 + -26; 12,2 +  16;Lindern, 24W22 - Heinsberg (Rheinl);Lindern - Heinsberg
2543;102730010;102890036; 27,3 +  10; 28,9 +  36;(DB-Borderline) Herzogenrath - Stw Hs, W 3;(DB-Gr.) Herzogenrath - Stw Hs
2544;100140002;101320090;  1,4 +   2; 13,2 +  90;Stolberg (Rheinl), Switch Quinx - Kohlscheid;Stolberg - Kohlscheid
2545;100560091;100850010;  5,6 +  91;  8,5 +  10;Switch Richterich - (DB-Borderline);Switch Richterich - Simpelveld
2550;100160012;134510082;  1,6 +  12;345,1 +  82;Aachen Main-St., 04W25 --Arnsberg (W.)-- - Kassel Main-St.;Aachen - Kassel
2551;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - Aachen Main-St., W 25 - W 26;former Track 2551
2552;99859977;100530080; -1,4 + -22;  5,3 +  80;Aachen West, W 141 - (DB-Borderline);Aachen West - (DB-Borderline)
2553;100040019;100090050;  0,4 +  19;  0,9 +  50;Aachen West, W 3 - Aachen West,W 301;Aachen West, W 3 - W 301
2554;100320023;100430000;  3,2 +  23;  4,3 +   0;(DB-Borderline) - Aachen, Buschtunnel;(DB-Gr.) - Aachen, Buschtunnel
2555;100000005;102600069;  0,0 +   5; 26,0 +  69;Aachen North - Kirchberg (b Juelich);Aachen North - Kirchberg
2556;100000031;100570000;  0,0 +  31;  5,7 +   0;Mariagrube, Stw Mwf, W 9 - Siersdorf, Grube Mayrisch;Mariagrube - Siersdorf
2557;99999968;100070030;  0,0 + -31;  0,7 +  30;Mariagrube, Stw Mwf, W 9 - Switch Kellersberg, W 101;Mariagrube - Switch Kellersberg
2560;99999990;100600067;  0,0 +  -9;  6,0 +  67;Haaren (b Aachen), Stw Hf - Aachen-Rothe Erde, W 25;Haaren - Aachen-Rothe Erde
2561;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - Haaren (b Aachen), W 3 - W 8;former Track 2561
2562;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - Aachen Rothe Erde, Stw Rof Stw Rpf;former Track 2562
2563;99979961;101110000; -0,2 + -38; 11,1 +   0;Aachen Rothe Erde, W 146 - Hahn;Aachen Rothe Erde - Hahn
2564;106830099;106960013; 68,3 +  99; 69,6 +  13;Aachen-Rothe Erde, Gl 14, W 3 - Aachen Main-St., W 13;Aachen-Rothe Erde - Aachen
2570;100000030;101960030;  0,0 +  30; 19,6 +  30;Stolberg (Rheinl) Main-St. - Herzogenrath;Stolberg - Herzogenrath
2571;101150017;105760060; 11,5 +  17; 57,6 +  60;Hochneukirch - Stolberg (Rheinl) Main-St.;Hochneukirch - Stolberg
2572;100000000;101720070;  0,0 +   0; 17,2 +  70;Stolberg (Rheinl) Main-St. - Walheim (b Aachen), (DB-Borderline);Stolberg - Walheim (DB-Borderline)
2573;99959903;100160046; -0,4 + -96;  1,6 +  46;Stolberg (Rheinl) Main-St., Stw Sof - Stw Sif, W 275;Stolberg, Stw Sof - Stw Sif
2574;100000000;100350050;  0,0 +   0;  3,5 +  50;Stolberg (Rheinl) Main-St. - DB-Borderline (Muensterb., Zinkhuette);Stolberg - Muensterbusch
2575;99999959;100240070;  0,0 + -40;  2,4 +  70;Langerwehe - Eschweiler-Weisweiler, W 2;Langerwehe - Eschw.-Weisweiler
2580;100000000;105080068;  0,0 +   0; 50,8 +  68;Dueren - Switch Neuss Erftkanal, W 184;Dueren - Switch Neuss Erftkanal
2581;100000094;100970000;  0,0 +  94;  9,7 +   0;Bedburg (Erft), 70W12 - Bergheim Streckenw. 2581/2601;Bedburg - Strw 2581/2601
2582;100130050;101290050;  1,3 +  50; 12,9 +  50;Bedburg (Erft) - Ameln;Bedburg - Ameln
2583;101450088;101550079; 14,5 +  88; 15,5 +  79;(Dueren) NE-Strecke 9304 - Dueren;NE-Strecke 9304 - Dueren
2584;100010052;100090038;  0,1 +  52;  0,9 +  38;Dueren, W 230 - NE-Strecke 9306 (Dueren);Dueren - NE-Strecke 9306
2585;100080019;102980015;  0,8 +  19; 29,8 +  15;Dueren, W 26 - Euskirchen, W 94;Dueren - Euskirchen
2600;99999997;107690060;  0,0 +  -2; 76,9 +  60;Koeln Main-St. - Aachen Main-St. (DB-Borderline);Koeln - Aachen (DB-Borderline)
2601;101290084;103440040; 12,9 +  84; 34,4 +  40;former Bf Moedrath - Rommerskirchen, 63W13;Moedrath - Rommerskirchen
2602;99999945;100100018;  0,0 + -54;  1,0 +  18;Horrem, W 11 - Horrem, W 82;Horrem, W 11 - W 82
2603;100000000;100460000;  0,0 +   0;  4,6 +   0;former Track - Elsdorf (Rheinl) East - Zieverich;former Track 2603
2604;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - Bergheim (Erft) - Niederaußem;former Track 2604
2605;100650010;101980060;  6,5 +  10; 19,8 +  60;former Bf Moedrath - Noervenich;Moedrath - Noervenich
2606;100000000;101290084;  0,0 +   0; 12,9 +  84;Erftstadt - former Bf Moedrath;Erftstadt - Moedrath
2607;99989939;100640002; -0,1 + -60;  6,4 +   2;Benzelrath - former Bf Moedrath;Benzelrath - Moedrath
2608;100000000;100270048;  0,0 +   0;  2,7 +  48;Koeln Main-St. - Koeln-Ehrenfeld, W 4 (Gegenrichtung Str. 2600);Koeln Main-St. - Koeln-Ehrenfeld
2609;99969939;100160000; -0,3 + -60;  1,6 +   0;Erftstadt - Liblar Dorf;Erftstadt - Liblar Dorf
2610;100090007;113110000;  0,9 +   7;131,1 +   0;Koeln Main-St., W 612 - Kranenburg (DB-Borderline);Koeln - Kranenburg (DB-Borderline)
2611;100240098;104960024;  2,4 +  98; 49,6 +  24;Koeln-Ehrenfeld, W 50 - Rheydt Main-St., 61W43;Koeln-Ehrenfeld - Rheydt
2612;100260057;100350013;  2,6 +  57;  3,5 +  13;Koeln-Ehrenfeld, W 44 - Koeln-Ehrenfeld, W 90;Koeln-Ehrenfeld, W 44 - W 90
2613;99999919;100650017;  0,0 + -80;  6,5 +  17;Koeln West, W 7 - Koeln-Ehrenfeld, W 55;Koeln West - Koeln-Ehrenfeld
2614;99999980;100070005;  0,0 + -19;  0,7 +   5;Switch Koeln-Nippes, W 601 - Koeln-Ehrenfeld, W 1;Koeln-Nippes - Koeln-Ehrenfeld
2615;100000000;100840031;  0,0 +   0;  8,4 +  31;Koeln West, W 52 - Koeln-Longerich, W 830;Koeln West - Koeln-Longerich
2616;99969969;100090068; -0,3 + -30;  0,9 +  68;Koeln Main-St., W 17 - Koeln Bbf, W 52;Koeln - Koeln Bbf
2617;99989938;100220015; -0,1 + -61;  2,2 +  15;Koeln Main-St., W 72 - Koeln West, W 14;Koeln Main-St. - Koeln West
2618;100090007;100240000;  0,9 +   7;  2,4 +   0;Koeln Main-St., W 617 - Koeln-Nippes, Streckenw. 2618/2610 (Gegenr. 2610);Koeln Main-St. - Koeln-Nippes
2619;100410000;101670000;  4,1 +   0; 16,7 +   0;Rommerskirchen - Holzheim;Rommerskirchen - Holzheim
2620;100000000;101610081;  0,0 +   0; 16,1 +  81;Koeln Main-St. - Koeln-Worringen, W 431;Koeln - Koeln-Worringen
2621;100000000;100780098;  0,0 +   0;  7,8 +  98;Switch Koeln Posthof, W 151 - Switch Koeln Steinstraße, W 133;Koeln Posthof - Koeln Steinstr.
2622;100130037;103940059;  1,3 +  37; 39,4 +  59;Koeln Main-St., W 144 - Dueren, W 233;Koeln - Dueren
2623;100120000;101080055;  1,2 +   0; 10,8 +  55;Koeln, Betriebsbahnhof - Kalscheuren (Planning Title);Koeln, Bbf - Kalscheuren
2624;100310096;100420081;  3,1 +  96;  4,2 +  81;Koeln-Muelheim, W 103 - Switch Koeln-Muelheim Berliner Straße, W 50;K-Muelheim - Berliner Str., W50
2625;100000000;100030024;  0,0 +   0;  0,3 +  24;Switch Koeln-Muelheim Berliner Str., W 241 - Switch K-Muelh. Berl. Str., W 51;K-Muelh. Berl. Str., W241 - W51
2630;99799998;115240029; -2,0 +  -1;152,4 +  29;Koeln Main-St. --Koblenz-- - Bingen (Rhein) Main-St., W 166;Koeln - Bingen
2631;99979991;116380040; -0,2 +  -8;163,8 +  40;Huerth-Kalscheuren, W 9 - Ehrang, W 30;Huerth-Kalscheuren - Ehrang
2632;100000000;100040041;  0,0 +   0;  0,4 +  41;Huerth-Kalscheuren, W 62 - Huerth-Kalscheuren, W 36;Huerth-Kalscheuren, W 62 - W 36
2633;100000000;100110071;  0,0 +   0;  1,1 +  71;Koeln Main-St. - Koeln Messe/Deutz (Außengleise);Koeln - K Messe/Deutz (Außengl)
2634;100110078;101400000;  1,1 +  78; 14,0 +   0;Euskirchen, 46W10 - Bad Muenstereifel;Euskirchen - Bad Muenstereifel
2635;99969928;101750072; -0,3 + -71; 17,5 +  72;Kall, W 19 - Hellenthal;Kall - Hellenthal
2636;100000000;104500000;  0,0 +   0; 45,0 +   0;Rech - Erftstadt;Rech - Erftstadt
2637;100070000;102490050;  0,7 +   0; 24,9 +  50;Ahrdorf (Ahr) - Blankenheim (Wald);Ahrdorf - Blankenheim
2638;99859920;100040000; -1,4 + -79;  0,4 +   0;Koeln Main-St. --Koblenz-- - Koeln West, Streckenw. 2638/2630, Gegenr.2630;Koeln - Koeln West
2639;100000000;100110060;  0,0 +   0;  1,1 +  60;Koeln Main-St. - Koeln Messe/Deutz (Innengleise);Koeln - K Messe/Deutz (Innengl)
2640;100170043;100960088;  1,7 +  43;  9,6 +  88;Koeln West, W 14 - Huerth-Kalscheuren, W 33;Koeln West - Huerth-Kalscheuren
2641;99999974;100770021;  0,0 + -25;  7,7 +  21;Switch Koeln Sued, W 10 - Koeln-Kalk Nord, Stw Ksf, W 612;Switch Koeln South - Koeln-Kalk Nord
2642;99969922;100130029; -0,3 + -77;  1,3 +  29;Koeln Sued, W 1 - Koeln Bonntor, W 3;Koeln South - Koeln Bonntor
2643;99729925;100080033; -2,7 + -74;  0,8 +  33;Koeln Eifeltor, Stw Esf, W 426 - Koeln Bonntor, W 1;Koeln Eifeltor - Koeln Bonntor
2644;99999950;100160094;  0,0 + -49;  1,6 +  94;Koeln Eifeltor, Stw Enf - Koeln Bonntor, W 88;Koeln Eifeltor - K Bonntor,W 88
2645;99979935;103450008; -0,2 + -64; 34,5 +   8;Bonn Main-St., W 227 - Euskirchen, 46W89;Bonn - Euskirchen
2650;100000000;115070026;  0,0 +   0;150,7 +  26;Koeln Messe/Deutz --Essen-Altenessen-- - Hamm (Westf) Pbf;Koeln M/Deutz - Hamm (Westf)
2651;100000000;116610070;  0,0 +   0;166,1 +  70;Koeln Messe/Deutz - Gießen, W 303;Koeln Messe/Deutz - Gießen
2652;99979974;100680092; -0,2 + -25;  6,8 +  92;Koeln Messe/Deutz, W 615 - Koeln Neurather Ring Strw 2652/2659/2730;K M/Deutz, W615 - Neurather R.
2653;99979950;100330074; -0,2 + -49;  3,3 +  74;Koeln Messe/Deutz, W 612 - Koeln-Muelheim, W 221;K M/Deutz - K-Muelheim, W 221
2654;100030059;100090073;  0,3 +  59;  0,9 +  73;Koeln Messe/Deutz, W 645 - Koeln Deutzerfeld, W 29;K M/Deutz, W 645 - K Deutzerf.
2655;100410012;102450045;  4,1 +  12; 24,5 +  45;Porz-Heumar, W 3109 - Overath, W 4304;Porz-Heumar - Overath
2656;100000040;100300056;  0,0 +  40;  3,0 +  56;Switch Koeln Suedbruecke, W 203 - Switch Gremberg Nord, W 11;Koeln Suedbruecke - Gremberg Nord
2657;100030082;107270025;  0,3 +  82; 72,7 +  25;Siegburg/Bonn, W 146 - Olpe;Siegburg/Bonn - Olpe
2658;104000000;104680004; 40,0 +   0; 46,8 +   4;Koeln Messe/Deutz - Switch Koeln Bruder Klaus Siedlung (Gegenri. 2650);K M/Deutz - K Bruder Kl.Siedl.
2659;103970049;104660085; 39,7 +  49; 46,6 +  85;Koeln Messe/Deutz, W 613 - Koeln Neurather Ring Strw 2652/2659/2730;K M/Deutz, W613 - Neurather R.
2660;99959916;100660039; -0,4 + -83;  6,6 +  39;Koeln-Muelheim, W 174 - Koeln-Kalk, W 44;Koeln-Muelheim - Koeln-Kalk
2661;100310056;100390090;  3,1 +  56;  3,9 +  90;Koeln-Muelheim, W 105 - Switch Hoehenhaus, W 301;Koeln-Muelheim - Switch Hoehenhaus
2662;100330001;100420095;  3,3 +   1;  4,2 +  95;Koeln-Muelheim, Stw Mf, W 101 - Switch Koeln-Muelh. Berliner Str., W 49;K-Muelheim - Switch Berliner Str.
2663;100070036;100950046;  0,7 +  36;  9,5 +  46;Koeln-Muelheim, W 233 - Bergisch Gladbach;Koeln-Muelheim - Berg. Gladbach
2664;100170091;100390058;  1,7 +  91;  3,9 +  58;Koeln-Muelheim, W 238 - Koeln-Kalk Nord, W 54;Koeln-Muelheim - Koeln-Kalk Nord
2665;100000016;100410003;  0,0 +  16;  4,1 +   3;Koeln-Kalk Nord, W 235 - Switch Koeln-Muelheim Berliner Str., W 48;K-Kalk N - Switch Berliner Str.
2666;100100068;100700080;  1,0 +  68;  7,0 +  80;Koeln-Kalk Nord, W 620 - Switch Gremberg Sued, W 202;Koeln-Kalk North - Gremberg Sued
2667;99999984;100180006;  0,0 + -15;  1,8 +   6;Koeln-Kalk Nord, W 235 - Switch Vingst, W 311;Koeln-Kalk North - Switch Vingst
2668;100010080;100090053;  0,1 +  80;  0,9 +  53;Koeln Messe/Deutz, W 631 - Koeln Deutzerfeld, W 29 (Gegenr.Str. 2654);Koeln M/Deutz - K Deutzerfeld
2669;99929925;100180092; -0,7 + -74;  1,8 +  92;Koeln-Kalk Nord, W 528 - Koeln-Muelheim, W 12;Koeln-Kalk North - Koeln-Muelheim
2670;100000000;106350041;  0,0 +   0; 63,5 +  41;Koeln Main-St. - Duisburg Main-St., W 730;Koeln - Duisburg
2671;99999942;100730006;  0,0 + -57;  7,3 +   6;Hilden - Solingen Main-St., 28W76;Hilden - Solingen Main-St.
2672;99989999;100120000; -0,1 +   0;  1,2 +   0;former Track - Hilden - Switch Schuetzenstraße;former Track 2672
2673;103480084;103550004; 34,8 +  84; 35,5 +   4;Hilden, W 56 - W 62;Hilden, W 56 - W 62
2674;100000000;100230024;  0,0 +   0;  2,3 +  24;Switch Leverkusen Werkstaette, 28W118 - Opladen, 24W20;Leverkusen Werkst. - Opladen
2675;99949988;101730090; -0,5 + -11; 17,3 +  90;Solingen Main-St., 28W32 - Remscheid Main-St., W 66;Solingen Main-St. - Remscheid
2676;102850073;103480069; 28,5 +  73; 34,8 +  69;Duesseldorf-Eller - Hilden;Duesseldorf-Eller - Hilden
2680;100010056;102380043;  0,1 +  56; 23,8 +  43;Osberghausen - Waldbroel (Rheinland);Osberghausen - Waldbroel
2681;99979946;100750048; -0,2 + -53;  7,5 +  48;Hermesdorf, W 1 - Morsbach (Sieg);Hermesdorf - Morsbach
2682;101020045;104710085; 10,2 +  45; 47,1 +  85;Bergisch Gladbach, W 3 - former Lindlar;Bergisch Gladbach - Lindlar
2690;100910058;117350071;  9,1 +  58;173,5 +  71;Switch Koeln Steinstraße, W 101 - Frankfurt am Main Stadion, W 513;Koeln - Frankfurt am M. Stadion
2691;100550031;102070006;  5,5 +  31; 20,7 +   6;Switch Koeln Flughafen Nordwest, W 401 - Porz-Wahn, W 314;Koeln Flughafen NW - Porz-Wahn
2692;100000000;100230003;  0,0 +   0;  2,3 +   3;Switch Koeln Flugh. Nordost, W 404 - Switch Koeln Frankfurter Straße, W 3115;Koeln Flugh. NO - K Frankf. Str
2693;100000000;100090018;  0,0 +   0;  0,9 +  18;Porz-Wahn, W 313 - Porz-Wahn, W 303;Porz-Wahn, W 313 - W 303
2694;100000000;100130051;  0,0 +   0;  1,3 +  51;Porz-Wahn, W 312 - Porz-Wahn, W 304;Porz-Wahn, W 312 - W 304
2695;100000000;101450000;  0,0 +   0; 14,5 +   0;Troisdorf, W 420 - Bonn-Oberkassel, W 229 (Planning Title);Troisdorf - Bonn-Oberkassel
2700;100040088;104230099;  0,4 +  88; 42,3 +  99;Wuppertal-Oberbarmen, W 164 --Bergisch Born-- - Opladen, W 79;Wuppertal-Oberbarmen - Opladen
2701;100000062;100550057;  0,0 +  62;  5,5 +  57;Wuppertal-Oberbarmen, W 117 - Schwelm, W 427;Wuppertal-Oberbarmen - Schwelm
2702;99969955;100070054; -0,3 + -44;  0,7 +  54;Wuppertal Rauenthal, W 713 - Wuppertal-Langerfeld, W 502;W Rauenthal - W-Langerfeld
2703;100000000;102020060;  0,0 +   0; 20,2 +  60;Remscheid-Lennep --Krebsoege-- - Wuppertal-Rauenthal, W 718;Lennep --Krebs.-- - Rauenthal
2704;99979909;101880018; -0,2 + -90; 18,8 +  18;Krebsoege - former Anschlag;Krebsoege - Anschlag
2705;101340084;102210050; 13,4 +  84; 22,1 +  50;Remscheid-Lennep, W 414 - Remscheid-Hasten;RS-Lennep - RS-Hasten
2706;99979957;100240095; -0,2 + -42;  2,4 +  95;Remscheid Main-St., W 64 - Remscheid-Bliedinghausen;Remscheid - RS-Bliedinghausen
2707;101670014;104370083; 16,7 +  14; 43,7 +  83;Bergisch Born - Marienheide;Bergisch Born - Marienheide
2710;100130072;100320080;  1,3 +  72;  3,2 +  80;Wuppertal-Oberbarmen - Wuppertal-Wichlinghausen;W-Oberbarmen - Wichlinghausen
2711;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - Wuppertal-Langerfeld, W 514 - W 568;former Track 2711
2712;100140036;100560080;  1,4 +  36;  5,6 +  80;Wuppertal-Langerfeld - Schwelm-Loh;W-Langerfeld - Schwelm-Loh
2713;100000000;102270031;  0,0 +   0; 22,7 +  31;Wuppertal-Wichlinghausen - Hattingen (Ruhr), W 730;W-Wichlinghausen - Hattingen
2714;100000000;100910091;  0,0 +   0;  9,1 +  91;former Schee - former Silschede;Schee - Silschede
2721;100110020;101060085;  1,1 +  20; 10,6 +  85;Wuppertal-Steinbeck - Wuppertal-Cronenberg;W-Steinbeck - W-Cronenberg
2722;100080074;100350030;  0,8 +  74;  3,5 +  30;Wuppertal-Vohwinkel, W 77 - Wuppertal-Varresbeck, W 71;W-Vohwinkel - W-Varresbeck
2723;99929964;102630037; -0,7 + -35; 26,3 +  37;Wuppertal-Vohwinkel, W 88 - Essen-Kupferdreh Hespertalbahn, W 404;W-Vohwinkel - Essen-Kupferdreh
2724;100000084;102520000;  0,0 +  84; 25,2 +   0;former Switch Oberduessel - Kettwig Stausee;Oberduessel - Kettwig Stausee
2725;99969926;100080000; -0,3 + -73;  0,8 +   0;former Track - Wuppertal-Vohwinkel, Stw F 8 - Stw Vpf;former Track 2725
2726;100000068;100270018;  0,0 +  68;  2,7 +  18;Wuppertal-Zoologischer Garten, 82W03 - Wuppertal-Steinbeck, W 86W01;W Zool. Garten - W-Steinbeck
2727;101950094;102140050; 19,5 +  94; 21,4 +  50;Dornap-Hahnenfurth, 9W13 - Switch Wuppertal-Dornap, 79W003;Dornap-Hahnenfurth - W-Dornap
2730;100000019;102660000;  0,0 +  19; 26,6 +   0;Gruiten - Koeln Neurather Ring Strw 2652/2659/2730;Gruiten - Koeln Neurather Ring
2731;110410082;110600086;104,1 +  82;106,0 +  86;Gruiten - Switch Wuppertal Linden, W 574;Gruiten - Switch Wuppert. Linden
2732;110350009;110850045;103,5 +   9;108,5 +  45;Haan-Gruiten, 76W03 - Wuppertal-Vohwinkel;Haan-Gruiten - Wuppertal-Vohw.
2733;110350015;110860097;103,5 +  15;108,6 +  97;Haan-Gruiten, 76W04 - Wuppertal-Vohwinkel, W 015;Haan-Gruiten - W-Vohwinkel,W15
2734;100590070;101900070;  5,9 +  70; 19,0 +  70;Solingen Mitte - Wuppertal-Vohwinkel;Solingen Mitte - W-Vohwinkel
2735;110630020;110840094;106,3 +  20;108,4 +  94;former Track - Gruiten - Wuppertal-Vohwinkel;former Track 2735
2800;99979919;112980047; -0,2 + -80;129,8 +  47;Hagen Main-St., W 11 - Haiger, W 97;Hagen - Haiger
2801;99969989;103120079; -0,3 + -10; 31,2 +  79;Hagen Main-St., W 9 --Witten-- - Dortmund Main-St.;Hagen - Dortmund
2802;99949946;100130024; -0,5 + -53;  1,3 +  24;Hagen-Eckesey, W 73 - Hagen Gbf, W 454;Hagen-Eckesey - Hagen Gbf
2803;107590015;107740060; 75,9 +  15; 77,4 +  60;Hagen-Vorhalle, W 551 - Hagen Gbf, W 460;Hagen-Vorhalle - Hagen Gbf
2804;99959973;100240070; -0,4 + -26;  2,4 +  70;Hagen Main-St., W 71 - Hagen-Heubing, W 612;Hagen - Hagen-Heubing
2805;100000048;100270019;  0,0 +  48;  2,7 +  19;former Switch Weidestraße, W 3 - Hagen-Kueckelhausen;Weidestraße - HA-Kueckelhausen
2810;100170072;106050087;  1,7 +  72; 60,5 +  87;Hagen-Oberhagen - Gummersbach-Dieringhausen, 61W04;HA-Oberhagen - Dieringhausen
2811;113990061;114530023;139,9 +  61;145,3 +  23;Switch Hagen Rehsiepen, W 301 - Hagen Streckenw. 2811/2823;HA Rehsiepen - Strw 2811/2823
2812;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - (Hagen Main-St.) Switch Rehsiepen, W 2 - W 149;former Track 2812
2813;100030006;100650072;  0,3 +   6;  6,5 +  72;Bruegge (Westf), W 4 - Luedenscheid;Bruegge - Luedenscheid
2814;100030004;101920000;  0,3 +   4; 19,2 +   0;Oberbruegge - Wipperfuerth;Oberbruegge - Wipperfuerth
2815;99989982;101240090; -0,1 + -17; 12,4 +  90;Meinerzhagen, W 3 - Krummenerl;Meinerzhagen - Krummenerl
2816;100340060;101380027;  3,4 +  60; 13,8 +  27;Hagen-Haspe, W 441 - Ennepetal-Altenvoerde;Hagen-Haspe - EN-Altenvoerde
2817;114010010;114070087;140,1 +  10;140,7 +  87;Switch Hagen Rehsiepen - Hagen Gbf;Switch HA Rehsiepen - Hagen Gbf
2818;114060007;114120016;140,6 +   7;141,2 +  16;former Track - Hagen Main-St., Switch Rehsiepen - Stw Hpw;former Track 2818
2819;100000005;100180000;  0,0 +   5;  1,8 +   0;Hagen Main-St. - Hagen-Oberhagen;Hagen - Hagen-Oberhagen
2820;107580080;108340009; 75,8 +  80; 83,4 +   9;Hagen-Vorhalle, W 553 - Hagen-Kabel, W 342;Hagen-Vorhalle - Hagen-Kabel
2821;100000092;100350092;  0,0 +  92;  3,5 +  92;Hagen-Vorhalle, W 522 - Herdecke, W 814;Hagen-Vorhalle - Herdecke
2822;99939944;100100084; -0,6 + -55;  1,0 +  84;Hagen-Eckesey, W 71 - Hagen-Vorhalle, W 508;Hagen-Eckesey - Hagen-Vorhalle
2823;99949946;100570058; -0,5 + -53;  5,7 +  58;Hagen-Eckesey, W 73 - Switch Hohensyburg, W 573;HA-Eckesey - Switch Hohensyburg
2824;107270090;107530032; 72,7 +  90; 75,3 +  32;Hagen-Vorhalle, W 422 - Hagen-Vorhalle, W 584;Hagen-Vorhalle, W 422 - W 584
2825;100000013;100370086;  0,0 +  13;  3,7 +  86;Hagen-Vorhalle, W 421 - W 505;Hagen-Vorhalle, W 421 - W 505
2840;115510078;116540087;155,1 +  78;165,4 +  87;Schwerte (Ruhr), 58W111 - Holzwickede, W 262;Schwerte - Holzwickede
2841;99999984;101970017;  0,0 + -15; 19,7 +  17;Iserlohn - Schwerte (Ruhr);Iserlohn - Schwerte
2842;100010071;100200033;  0,1 +  71;  2,0 +  33;Switch Schwerte Heide, 60W1 - Schwerte (Ruhr) Ost, W 305;Switch Heide - Schwerte Ost
2843;114930043;115860037;149,3 +  43;158,6 +  37;Switch Hohensyburg, W 572 - Schwerte (Ruhr) Ost, W 326;Switch Hohensyburg - Schwerte O
2844;100000092;100140030;  0,0 +  92;  1,4 +  30;Switch Hohensyburg, W 571 - Hagen-Kabel, W 307;Switch Hohensyburg - Hagen-Kabel
2850;100020099;102500072;  0,2 +  99; 25,0 +  72;Letmathe, W 174 - Froendenberg;Letmathe - Froendenberg
2851;99999931;100220018;  0,0 + -68;  2,2 +  18;Hemer, W 22 - Sundwig;Hemer - Sundwig
2852;100000000;101240079;  0,0 +   0; 12,4 +  79;Froendenberg - Unna, W 10;Froendenberg - Unna
2853;100010092;102230011;  0,1 +  92; 22,3 +  11;Menden (Sauerland), W 2 - Neuenrade;Menden - Neuenrade
2854;99979938;106150073; -0,2 + -61; 61,5 +  73;Switch Nuttlar, W 3 - Frankenberg (Eder), W 15;Switch Nuttlar - Frankenberg
2860;99949997;101640078; -0,5 +  -2; 16,4 +  78;Plettenberg, W 855 - former Herscheid;Plettenberg - Herscheid
2861;100000000;103620046;  0,0 +   0; 36,2 +  46;Finnentrop - Wennemen, W 406;Finnentrop - Wennemen
2862;100000000;103940051;  0,0 +   0; 39,4 +  51;Altenhundem - Wenholthausen, W 1;Altenhundem - Wenholthausen
2863;99999923;102230000;  0,0 + -76; 22,3 +   0;Lennestadt-Altenhundem, W 8 - Birkelbach;Altenhundem - Birkelbach
2864;100000000;104360005;  0,0 +   0; 43,6 +   5;Finnentrop - Freudenberg (Kr Siegen);Finnentrop - Freudenberg
2870;100000063;108880049;  0,0 +  63; 88,8 +  49;Kreuztal, 25W206 - Coelbe, W 318;Kreuztal - Coelbe
2871;99999905;101970074;  0,0 + -94; 19,7 +  74;Erndtebrueck, W 3 - Bad Berleburg;Erndtebrueck - Bad Berleburg
2872;100220089;103640037;  2,2 +  89; 36,4 +  37;Berleburg, former Switch Hoerre - Allendorf (Eder), W 16;Berleburg, Hoerre - Allendorf
2880;110390094;112330005;103,9 +  94;123,3 +   5;Siegen-Weidenau, W 618 - Betzdorf (Sieg), W 82;Siegen-Weidenau - Betzdorf
2881;99889988;100310004; -1,1 + -11;  3,1 +   4;Siegen, W 63 - Siegen East Gbf, W 729;Siegen - Siegen Ost
2882;100000066;101350048;  0,0 +  66; 13,5 +  48;Kirchen - Freudenberg (Kr Siegen);Kirchen - Freudenberg
